park,summit,aspect,transition,sciname,slope,sitelat,siteelev,site.probD,site.s.probD,family,genus,species,perenneating,leaves,habit,taxunit,startyear,startcover,endyear,endcover,changecover,propchangecover,latmin1090,latmax1090,latmean1090,latmedian1090,latrange1090,min.tmean,mean.tmean,max.tmean,min.snowdays,mean.snowdays,max.snowdays,min.wy.ppt,mean.wy.ppt,max.wy.ppt,min.pet,mean.pet,max.pet,min.aet,mean.aet,max.aet,min.cwd,mean.cwd,max.cwd,min.gs.ppt,mean.gs.ppt,max.gs.ppt,min.gdd,mean.gdd,max.gdd,start.lower,start.upper,end.lower,end.upper,startcover0,endcover0,allcover0,expanded,contracted,nochange,no0,climPC1,climPC2
GNP,BSN,E,BSN1,Polygonum douglasii,19,48.465154,2387,9.435194106063078e-7,0.01135862872813149,Polygonaceae,Polygonum,douglasii,below,D,forb,dicot,2003,0,2009,0,0,0,35.858333,47.4267,41.3313599365474,40.633019,16.411699999999996,11.746,13.912857142857142,15.7,200,211.14285714285714,234,998.0699999999995,1135.4171428571424,1345.039999999999,1.0890155429317563,1.177694665270877,1.2760510447919546,0.7997824441135878,0.9155180780632698,1.0249157857855296,0.088778420059064,0.26217658720760734,0.46379210645889823,152.98999999999998,243.68571428571425,348.88999999999993,198,213,238,NA,NA,NA,NA,1,1,1,0,0,1,0,1.3058701042445346,3.1268296773432587
GNP,BSN,E,BSN1,Potentilla diversifolia,19,48.465154,2387,1.6522620432513124e-5,0.13344439524900112,Rosaceae,Potentilla,diversifolia,below,D,forb,dicot,2003,0.07499999999999998,2009,0.125,0.05000000000000002,0.2857142857142858,37.466667,59.75,42.591278308363435,40.084312335,31.2355556,11.746,13.912857142857142,15.7,200,211.14285714285714,234,998.0699999999995,1135.4171428571424,1345.039999999999,1.0890155429317563,1.177694665270877,1.2760510447919546,0.7997824441135878,0.9155180780632698,1.0249157857855296,0.088778420059064,0.26217658720760734,0.46379210645889823,152.98999999999998,243.68571428571425,348.88999999999993,198,213,238,300,400,200,200,0,0,0,1,0,0,1,1.3058701042445346,3.1268296773432587
GNP,BSN,E,BSN1,Potentilla fruticosa,19,48.465154,2387,8.722510155144429e-6,0.1502033151992745,Rosaceae,Potentilla,fruticosa,woody,D,shrub,dicot,2003,2.875,2009,2.3,-0.5750000000000002,-0.1932773109243698,38.05528,48.692017,43.56471666669258,43.2709105,16.898808,11.746,13.912857142857142,15.7,200,211.14285714285714,234,998.0699999999995,1135.4171428571424,1345.039999999999,1.0890155429317563,1.177694665270877,1.2760510447919546,0.7997824441135878,0.9155180780632698,1.0249157857855296,0.088778420059064,0.26217658720760734,0.46379210645889823,152.98999999999998,243.68571428571425,348.88999999999993,198,213,238,200,200,600,600,0,0,0,0,1,0,1,1.3058701042445346,3.1268296773432587
GNP,BSN,E,BSN1,Potentilla nivea,19,48.465154,2387,9.145742626695742e-6,0.14635108735947155,Rosaceae,Potentilla,nivea,below,D,forb,dicot,2003,0.05,2009,0.15000000000000002,0.10000000000000002,0.6666666666666667,38.5667,68.48,56.22689301690371,61.30735,33.15417,11.746,13.912857142857142,15.7,200,211.14285714285714,234,998.0699999999995,1135.4171428571424,1345.039999999999,1.0890155429317563,1.177694665270877,1.2760510447919546,0.7997824441135878,0.9155180780632698,1.0249157857855296,0.088778420059064,0.26217658720760734,0.46379210645889823,152.98999999999998,243.68571428571425,348.88999999999993,198,213,238,400,400,400,400,0,0,0,1,0,0,1,1.3058701042445346,3.1268296773432587
GNP,BSN,E,BSN1,Potentilla ovina,19,48.465154,2387,2.3933828674416307e-5,0.12231596136215052,Rosaceae,Potentilla,ovina,below,D,forb,dicot,2003,0.275,2009,0.75,0.475,1.2666666666666666,38.989656,47.309943,43.216854564662576,44.172847,13.468432999999996,11.746,13.912857142857142,15.7,200,211.14285714285714,234,998.0699999999995,1135.4171428571424,1345.039999999999,1.0890155429317563,1.177694665270877,1.2760510447919546,0.7997824441135878,0.9155180780632698,1.0249157857855296,0.088778420059064,0.26217658720760734,0.46379210645889823,152.98999999999998,243.68571428571425,348.88999999999993,198,213,238,200,400,400,600,0,0,0,1,0,0,1,1.3058701042445346,3.1268296773432587
GNP,BSN,E,BSN1,Potentilla rubricaulis,19,48.465154,2387,1.643582065222585e-5,0.02348178277086197,Rosaceae,Potentilla,rubricaulis,below,D,forb,dicot,2003,0,2009,0.05,0.05,0.5,38.352926,69.16667,47.43126830650406,39.8769,32.370363999999995,11.746,13.912857142857142,15.7,200,211.14285714285714,234,998.0699999999995,1135.4171428571424,1345.039999999999,1.0890155429317563,1.177694665270877,1.2760510447919546,0.7997824441135878,0.9155180780632698,1.0249157857855296,0.088778420059064,0.26217658720760734,0.46379210645889823,152.98999999999998,243.68571428571425,348.88999999999993,198,213,238,0,0,400,200,1,0,0,1,0,0,0,1.3058701042445346,3.1268296773432587
GNP,BSN,E,BSN1,Packera cana,19,48.465154,2387,9.467724203575158e-7,0.01085830116426452,Asteraceae,Packera,cana,below,D,forb,dicot,2003,0.05,2009,0,-0.05,-0.3333333333333333,37.960306,47.253734,42.4826919574404,42.748411,11.393178400000004,11.746,13.912857142857142,15.7,200,211.14285714285714,234,998.0699999999995,1135.4171428571424,1345.039999999999,1.0890155429317563,1.177694665270877,1.2760510447919546,0.7997824441135878,0.9155180780632698,1.0249157857855296,0.088778420059064,0.26217658720760734,0.46379210645889823,152.98999999999998,243.68571428571425,348.88999999999993,198,213,238,400,400,600,200,0,1,0,0,1,0,0,1.3058701042445346,3.1268296773432587
GNP,BSN,E,BSN1,Phacelia sericea,19,48.465154,2387,2.577142528325097e-5,0.2522250765725583,Hydrophyllaceae,Phacelia,sericea,below,D,forb,dicot,2003,0,2009,0.05,0.05,0.5,37.6241656,48.148569,42.18585477791164,41.298253,15.365513,11.746,13.912857142857142,15.7,200,211.14285714285714,234,998.0699999999995,1135.4171428571424,1345.039999999999,1.0890155429317563,1.177694665270877,1.2760510447919546,0.7997824441135878,0.9155180780632698,1.0249157857855296,0.088778420059064,0.26217658720760734,0.46379210645889823,152.98999999999998,243.68571428571425,348.88999999999993,198,213,238,200,200,400,100,1,0,0,1,0,0,0,1.3058701042445346,3.1268296773432587
GNP,BSN,E,BSN1,Poa alpina,19,48.465154,2387,1.9319402146691607e-5,0.2899291479560526,Poaceae,Poa,alpina,below,D,gram,monocot,2003,0,2009,0,0,0,37.75694444,66.1333,51.0993581142799,48.689444,30.180300000000003,11.746,13.912857142857142,15.7,200,211.14285714285714,234,998.0699999999995,1135.4171428571424,1345.039999999999,1.0890155429317563,1.177694665270877,1.2760510447919546,0.7997824441135878,0.9155180780632698,1.0249157857855296,0.088778420059064,0.26217658720760734,0.46379210645889823,152.98999999999998,243.68571428571425,348.88999999999993,198,213,238,NA,NA,NA,NA,1,1,1,0,0,1,0,1.3058701042445346,3.1268296773432587
GNP,BSN,E,BSN1,Poa cusickii,19,48.465154,2387,8.232580025419386e-6,0.12893982761163644,Poaceae,Poa,cusickii,below,D,gram,monocot,2003,0,2009,0,0,0,38.324589,46.917,42.03151229629518,41.68677,10.945883000000002,11.746,13.912857142857142,15.7,200,211.14285714285714,234,998.0699999999995,1135.4171428571424,1345.039999999999,1.0890155429317563,1.177694665270877,1.2760510447919546,0.7997824441135878,0.9155180780632698,1.0249157857855296,0.088778420059064,0.26217658720760734,0.46379210645889823,152.98999999999998,243.68571428571425,348.88999999999993,198,213,238,0,0,100,0,1,1,1,0,0,1,0,1.3058701042445346,3.1268296773432587
GNP,BSN,E,BSN1,Poa glauca,19,48.465154,2387,1.1105648669112805e-5,0.29887516954787696,Poaceae,Poa,glauca,below,D,gram,monocot,2003,0.0024999999999999996,2009,0.07499999999999998,0.07249999999999998,0.7073170731707314,39.933336,70.48,61.42867523209827,63.75,37.1047,11.746,13.912857142857142,15.7,200,211.14285714285714,234,998.0699999999995,1135.4171428571424,1345.039999999999,1.0890155429317563,1.177694665270877,1.2760510447919546,0.7997824441135878,0.9155180780632698,1.0249157857855296,0.088778420059064,0.26217658720760734,0.46379210645889823,152.98999999999998,243.68571428571425,348.88999999999993,198,213,238,200,100,200,400,0,0,0,1,0,0,1,1.3058701042445346,3.1268296773432587
GNP,BSN,E,BSN1,Poa interior,19,48.465154,2387,5.980148948526983e-6,0.1266945340774509,Poaceae,Poa,interior,below,D,gram,monocot,2003,0,2009,0,0,0,36.852,53.55,43.237726048285325,43.92302,22.516699999999997,11.746,13.912857142857142,15.7,200,211.14285714285714,234,998.0699999999995,1135.4171428571424,1345.039999999999,1.0890155429317563,1.177694665270877,1.2760510447919546,0.7997824441135878,0.9155180780632698,1.0249157857855296,0.088778420059064,0.26217658720760734,0.46379210645889823,152.98999999999998,243.68571428571425,348.88999999999993,198,213,238,NA,NA,NA,NA,1,1,1,0,0,1,0,1.3058701042445346,3.1268296773432587
GNP,BSN,E,BSN1,Poa secunda,19,48.465154,2387,5.488354549280426e-6,0.1179464742324373,Poaceae,Poa,secunda,below,D,gram,monocot,2003,0,2009,0.1,0.1,1,34.24167,46.731709,40.57514271059066,40.65583,15.757569000000004,11.746,13.912857142857142,15.7,200,211.14285714285714,234,998.0699999999995,1135.4171428571424,1345.039999999999,1.0890155429317563,1.177694665270877,1.2760510447919546,0.7997824441135878,0.9155180780632698,1.0249157857855296,0.088778420059064,0.26217658720760734,0.46379210645889823,152.98999999999998,243.68571428571425,348.88999999999993,198,213,238,200,200,600,400,1,0,0,1,0,0,0,1.3058701042445346,3.1268296773432587
GNP,BSN,E,BSN1,Stellaria americana,19,48.465154,2387,2.6621327819781906e-4,0.8203341569375225,Caryophyllaceae,Stellaria,americana,below,D,forb,dicot,2003,0,2009,0,0,0,45.5962,48.467747,46.91528351612903,46.800243,3.4165470000000013,11.746,13.912857142857142,15.7,200,211.14285714285714,234,998.0699999999995,1135.4171428571424,1345.039999999999,1.0890155429317563,1.177694665270877,1.2760510447919546,0.7997824441135878,0.9155180780632698,1.0249157857855296,0.088778420059064,0.26217658720760734,0.46379210645889823,152.98999999999998,243.68571428571425,348.88999999999993,198,213,238,0,100,0,0,1,1,1,0,0,1,0,1.3058701042445346,3.1268296773432587
GNP,BSN,E,BSN1,Townsendia parryi,19,48.465154,2387,2.7410110044720305e-5,0.10802239714944845,Asteraceae,Townsendia,parryi,below,D,forb,dicot,2003,0,2009,0,0,0,44.191124,47.488551,45.46471874377682,45.570097,7.854790999999999,11.746,13.912857142857142,15.7,200,211.14285714285714,234,998.0699999999995,1135.4171428571424,1345.039999999999,1.0890155429317563,1.177694665270877,1.2760510447919546,0.7997824441135878,0.9155180780632698,1.0249157857855296,0.088778420059064,0.26217658720760734,0.46379210645889823,152.98999999999998,243.68571428571425,348.88999999999993,198,213,238,400,200,0,200,1,1,1,0,0,1,0,1.3058701042445346,3.1268296773432587
GNP,BSN,E,BSN1,Trisetum spicatum,19,48.465154,2387,1.2224343296370611e-5,0.1823463122425811,Poaceae,Trisetum,spicatum,below,D,gram,monocot,2003,0.0024999999999999996,2009,0,-0.0024999999999999996,-0.02439024390243902,36.556822,65.85,45.76214695803549,44.12727,48.670199999999994,11.746,13.912857142857142,15.7,200,211.14285714285714,234,998.0699999999995,1135.4171428571424,1345.039999999999,1.0890155429317563,1.177694665270877,1.2760510447919546,0.7997824441135878,0.9155180780632698,1.0249157857855296,0.088778420059064,0.26217658720760734,0.46379210645889823,152.98999999999998,243.68571428571425,348.88999999999993,198,213,238,0,100,100,400,0,1,0,0,1,0,0,1.3058701042445346,3.1268296773432587
GNP,BSN,E,BSN1,Erigeron compositus,19,48.465154,2387,2.102672764093369e-5,0.3739500787783217,Asteraceae,Erigeron,compositus,below,D,forb,dicot,2003,0.4,2009,0.775,0.375,0.75,37.911111,60.7833,44.421884634209306,44.711389,26.68432,11.746,13.912857142857142,15.7,200,211.14285714285714,234,998.0699999999995,1135.4171428571424,1345.039999999999,1.0890155429317563,1.177694665270877,1.2760510447919546,0.7997824441135878,0.9155180780632698,1.0249157857855296,0.088778420059064,0.26217658720760734,0.46379210645889823,152.98999999999998,243.68571428571425,348.88999999999993,198,213,238,300,400,400,400,0,0,0,1,0,0,1,1.3058701042445346,3.1268296773432587
GNP,BSN,E,BSN1,Eriogonum androsaceum,19,48.465154,2387,3.4811669663227296e-4,0.7159013919080045,Polygonaceae,Eriogonum,androsaceum,below,D,forb,dicot,2003,0.1,2009,0.175,0.07499999999999998,0.3749999999999999,47.014431,48.851648,48.19830384210526,48.257,4.363347999999995,11.746,13.912857142857142,15.7,200,211.14285714285714,234,998.0699999999995,1135.4171428571424,1345.039999999999,1.0890155429317563,1.177694665270877,1.2760510447919546,0.7997824441135878,0.9155180780632698,1.0249157857855296,0.088778420059064,0.26217658720760734,0.46379210645889823,152.98999999999998,243.68571428571425,348.88999999999993,198,213,238,400,400,100,200,0,0,0,1,0,0,1,1.3058701042445346,3.1268296773432587
GNP,BSN,E,BSN1,Eriogonum ovalifolium,19,48.465154,2387,5.768209609724277e-6,0.04894414625735166,Polygonaceae,Eriogonum,ovalifolium,below,D,forb,dicot,2003,0.1025,2009,0.275,0.17250000000000004,0.851851851851852,37.177823,46.085245,41.402235938419686,41.506295,11.935520000000004,11.746,13.912857142857142,15.7,200,211.14285714285714,234,998.0699999999995,1135.4171428571424,1345.039999999999,1.0890155429317563,1.177694665270877,1.2760510447919546,0.7997824441135878,0.9155180780632698,1.0249157857855296,0.088778420059064,0.26217658720760734,0.46379210645889823,152.98999999999998,243.68571428571425,348.88999999999993,198,213,238,400,400,600,400,0,0,0,1,0,0,1,1.3058701042445346,3.1268296773432587
GNP,BSN,E,BSN1,Potentilla saximontana,19,48.465154,2387,1.2244064223670605e-12,1.9337021344301647e-10,Rosaceae,Potentilla,saximontana,below,D,forb,dicot,2003,0,2009,0,0,0,39.1022973,39.1806,39.1331591,39.11658,0.8138999999999967,11.746,13.912857142857142,15.7,200,211.14285714285714,234,998.0699999999995,1135.4171428571424,1345.039999999999,1.0890155429317563,1.177694665270877,1.2760510447919546,0.7997824441135878,0.9155180780632698,1.0249157857855296,0.088778420059064,0.26217658720760734,0.46379210645889823,152.98999999999998,243.68571428571425,348.88999999999993,198,213,238,NA,NA,NA,NA,1,1,1,0,0,1,0,1.3058701042445346,3.1268296773432587
GNP,BSN,E,BSN1,Rhodiola integrifolia,19,48.465154,2387,7.900680813698778e-6,0.08390451221377218,Crassulaceae,Rhodiola,integrifolia,below,D,forb,dicot,2003,0,2009,0,0,0,37.5218151,65.07526667,49.83998861637589,48.616389,29.897286670000007,11.746,13.912857142857142,15.7,200,211.14285714285714,234,998.0699999999995,1135.4171428571424,1345.039999999999,1.0890155429317563,1.177694665270877,1.2760510447919546,0.7997824441135878,0.9155180780632698,1.0249157857855296,0.088778420059064,0.26217658720760734,0.46379210645889823,152.98999999999998,243.68571428571425,348.88999999999993,198,213,238,200,200,0,0,1,1,1,0,0,1,0,1.3058701042445346,3.1268296773432587
GNP,BSN,E,BSN1,Saxifraga bronchialis,19,48.465154,2387,2.029156995492883e-5,0.6487820729849904,Saxifragaceae,Saxifraga,bronchialis,above,E,forb,dicot,2003,0.0024999999999999996,2009,0,-0.0024999999999999996,-0.02439024390243902,37.422472,67.98,51.869633685268795,48.74667,34.606,11.746,13.912857142857142,15.7,200,211.14285714285714,234,998.0699999999995,1135.4171428571424,1345.039999999999,1.0890155429317563,1.177694665270877,1.2760510447919546,0.7997824441135878,0.9155180780632698,1.0249157857855296,0.088778420059064,0.26217658720760734,0.46379210645889823,152.98999999999998,243.68571428571425,348.88999999999993,198,213,238,200,200,200,100,0,1,0,0,1,0,0,1.3058701042445346,3.1268296773432587
GNP,BSN,E,BSN1,Sedum lanceolatum,19,48.465154,2387,1.2745359358897609e-5,0.1856559102097104,Crassulaceae,Sedum,lanceolatum,above,E,forb,dicot,2003,0,2009,0.05,0.05,0.5,37.6254,47.986389,42.54911989284595,42.8006,15.084648,11.746,13.912857142857142,15.7,200,211.14285714285714,234,998.0699999999995,1135.4171428571424,1345.039999999999,1.0890155429317563,1.177694665270877,1.2760510447919546,0.7997824441135878,0.9155180780632698,1.0249157857855296,0.088778420059064,0.26217658720760734,0.46379210645889823,152.98999999999998,243.68571428571425,348.88999999999993,198,213,238,200,200,100,200,1,0,0,1,0,0,0,1.3058701042445346,3.1268296773432587
GNP,BSN,E,BSN1,Silene acaulis,19,48.465154,2387,2.4101229186907013e-5,0.40621720717796567,Caryophyllaceae,Silene,acaulis,above,E,forb,dicot,2003,2.05,2009,0.75,-1.2999999999999998,-0.6046511627906976,37.723056,69.7,54.35825325852209,57.39165,34.374787000000005,11.746,13.912857142857142,15.7,200,211.14285714285714,234,998.0699999999995,1135.4171428571424,1345.039999999999,1.0890155429317563,1.177694665270877,1.2760510447919546,0.7997824441135878,0.9155180780632698,1.0249157857855296,0.088778420059064,0.26217658720760734,0.46379210645889823,152.98999999999998,243.68571428571425,348.88999999999993,198,213,238,400,100,100,400,0,0,0,0,1,0,1,1.3058701042445346,3.1268296773432587
GNP,BSN,E,BSN1,Smelowskia calycina,19,48.465154,2387,4.1848743731395415e-5,0.33283986054954406,Brassicaceae,Smelowskia,calycina,below,D,forb,dicot,2003,0.225,2009,0.375,0.15,0.4615384615384615,37.996104,49.33333,43.53888288661799,44.4209365,11.924996999999998,11.746,13.912857142857142,15.7,200,211.14285714285714,234,998.0699999999995,1135.4171428571424,1345.039999999999,1.0890155429317563,1.177694665270877,1.2760510447919546,0.7997824441135878,0.9155180780632698,1.0249157857855296,0.088778420059064,0.26217658720760734,0.46379210645889823,152.98999999999998,243.68571428571425,348.88999999999993,198,213,238,NA,NA,NA,NA,0,0,0,1,0,0,1,1.3058701042445346,3.1268296773432587
GNP,BSN,E,BSN1,Solidago multiradiata,19,48.465154,2387,1.675236602897969e-5,0.28153531181873376,Asteraceae,Solidago,multiradiata,below,D,forb,dicot,2003,0.125,2009,0.375,0.25,1.1111111111111112,37.13972222,65.48,48.31703060681312,45.054809,32.231131010000006,11.746,13.912857142857142,15.7,200,211.14285714285714,234,998.0699999999995,1135.4171428571424,1345.039999999999,1.0890155429317563,1.177694665270877,1.2760510447919546,0.7997824441135878,0.9155180780632698,1.0249157857855296,0.088778420059064,0.26217658720760734,0.46379210645889823,152.98999999999998,243.68571428571425,348.88999999999993,198,213,238,0,100,0,100,0,0,0,1,0,0,1,1.3058701042445346,3.1268296773432587
GNP,BSN,E,BSN1,Luzula spicata,19,48.465154,2387,2.078017272871292e-5,0.21483106273612376,Juncaceae,Luzula,spicata,below,D,gram,monocot,2003,0.025,2009,0.1,0.07500000000000001,0.6000000000000001,37.427384000000004,60.166667,43.43978615275566,43.694827,24.876346,11.746,13.912857142857142,15.7,200,211.14285714285714,234,998.0699999999995,1135.4171428571424,1345.039999999999,1.0890155429317563,1.177694665270877,1.2760510447919546,0.7997824441135878,0.9155180780632698,1.0249157857855296,0.088778420059064,0.26217658720760734,0.46379210645889823,152.98999999999998,243.68571428571425,348.88999999999993,198,213,238,300,100,400,200,0,0,0,1,0,0,1,1.3058701042445346,3.1268296773432587
GNP,BSN,E,BSN1,Astragalus bourgovii,19,48.465154,2387,1.832822429754045e-4,0.848348059976916,Fabaceae,Astragalus,bourgovii,below,D,forb,dicot,2003,0.0024999999999999996,2009,0,-0.0024999999999999996,-0.02439024390243902,46.041313,48.756365,47.5845411375,47.6131,5.006365000000002,11.746,13.912857142857142,15.7,200,211.14285714285714,234,998.0699999999995,1135.4171428571424,1345.039999999999,1.0890155429317563,1.177694665270877,1.2760510447919546,0.7997824441135878,0.9155180780632698,1.0249157857855296,0.088778420059064,0.26217658720760734,0.46379210645889823,152.98999999999998,243.68571428571425,348.88999999999993,198,213,238,0,100,0,0,0,1,0,0,1,0,0,1.3058701042445346,3.1268296773432587
